,id,label,nationality,date_of_birth,year_of_birth,image,country
0,Q264565,Elliot Goldenthal,united_states_of_america,1954-05-02T00:00:00Z,1954,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Elliott_Goldenthal_crop_2006.jpg/200px-Elliott_Goldenthal_crop_2006.jpg,United States
1,Q264766,Theresa May,united_kingdom,1956-10-01T00:00:00Z,1956,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Theresa_May_portrait.jpg/200px-Theresa_May_portrait.jpg,United Kingdom
2,Q265996,Joanna Pacuła,poland,1957-01-02T00:00:00Z,1957,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Joanna_Pacuła.JPG/200px-Joanna_Pacuła.JPG,Poland
3,Q268099,Veronica Lario,italy,1956-07-19T00:00:00Z,1956,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Veronica_Lario.svg/200px-Veronica_Lario.svg,Italy
4,Q270186,Tia Texada,united_states_of_america,1971-12-14T00:00:00Z,1971,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/2016_Tia.jpg/200px-2016_Tia.jpg,United States
5,Q270324,Patti LuPone,united_states_of_america,1949-04-21T00:00:00Z,1949,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Patti_Lupone_Drama_League.jpg/200px-Patti_Lupone_Drama_League.jpg,United States
6,Q271765,Laura Bell Bundy,united_states_of_america,1981-04-10T00:00:00Z,1981,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/LauraBellBundyApr10.jpg/200px-LauraBellBundyApr10.jpg,United States
7,Q272307,Wang Guangmei,republic_of_china_(1912–1949),1921-09-26T00:00:00Z,1921,"https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Wang_Kwangmei,_1949_(cropped).jpg/200px-Wang_Kwangmei,_1949_(cropped).jpg",China
8,Q272448,Sigrid Wolf,austria,1964-02-14T00:00:00Z,1964,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Sigrid_Wolf_1989_Paraguay_stamp.jpg/200px-Sigrid_Wolf_1989_Paraguay_stamp.jpg,Austria
9,Q273055,R. Kelly,united_states_of_america,1967-01-08T00:00:00Z,1967,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Ballasyrkellypic.jpg/200px-Ballasyrkellypic.jpg,United States
10,Q273887,Nivea,united_states_of_america,1982-03-24T00:00:00Z,1982,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Nivea_Hamilton.jpg/200px-Nivea_Hamilton.jpg,United States
11,Q284450,Tanja Ribič,slovenia,1968-06-28T00:00:00Z,1968,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Tanja_Ribic.JPG/200px-Tanja_Ribic.JPG,Slovenia
12,Q285662,El-Ouali Mustapha Sayed,western_sahara,1948-01-01T00:00:00Z,1948,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/El_Uali.jpg/200px-El_Uali.jpg,Middle East Small States
13,Q293514,Oscar de los Santos,uruguay,1962-02-17T00:00:00Z,1962,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Flaco.jpg/200px-Flaco.jpg,Uruguay
14,Q295027,Josip Šimunić,australia,1978-02-18T00:00:00Z,1978,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/3_Simunic.JPG/200px-3_Simunic.JPG,Australia
15,Q297804,Liliane Bettencourt,france,1922-10-21T00:00:00Z,1922,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Liliane_Bettencourt_Portrait_Painting_Collage_By_Danor_Shtruzman.jpg/200px-Liliane_Bettencourt_Portrait_Painting_Collage_By_Danor_Shtruzman.jpg,France
16,Q301735,Aaron Brocklehurst,canada,1985-06-10T00:00:00Z,1985,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Brocklehurst-Ingolstadt.jpg/200px-Brocklehurst-Ingolstadt.jpg,Canada
17,Q302849,Aaron T. Beck,united_states_of_america,1921-07-18T00:00:00Z,1921,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Aaron_Beck_2016.jpg/200px-Aaron_Beck_2016.jpg,United States
18,Q303926,Ab Klink,kingdom_of_the_netherlands,1958-11-02T00:00:00Z,1958,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Kllink_Dutch_politician_kabinet_Balkenende_IV.jpg/200px-Kllink_Dutch_politician_kabinet_Balkenende_IV.jpg,Netherlands
19,Q307921,Abdelilah Benkirane,morocco,1954-04-04T00:00:00Z,1954,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/BenkiraneJPG.jpg/200px-BenkiraneJPG.jpg,Morocco
20,Q311817,Colin Edwin,australia,1970-07-02T00:00:00Z,1970,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Colin-FC-1.jpg/200px-Colin-FC-1.jpg,Australia
21,Q313462,Joseph Morgan,united_kingdom,1981-05-16T00:00:00Z,1981,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Joseph_Morgan_by_Gage_Skidmore.jpg/200px-Joseph_Morgan_by_Gage_Skidmore.jpg,United Kingdom
22,Q315500,Pushpa Kamal Dahal,nepal,1954-12-11T00:00:00Z,1954,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Pushpa_Kamal_Dahal.jpg/200px-Pushpa_Kamal_Dahal.jpg,Nepal
23,Q317228,Kurtwood Smith,united_states_of_america,1943-07-03T00:00:00Z,1943,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Kurtwood_Smith_by_Gage_Skidmore.jpg/200px-Kurtwood_Smith_by_Gage_Skidmore.jpg,United States
24,Q317730,Jean-Dominique Bauby,france,1952-04-23T00:00:00Z,1952,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Jean-Dominique-Bauby-01.jpg/200px-Jean-Dominique-Bauby-01.jpg,France
25,Q318508,Andrés Manuel López Obrador,mexico,1953-11-13T00:00:00Z,1953,"https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Andrés_Manuel_López_Obrador,_presidente_de_México.jpg/200px-Andrés_Manuel_López_Obrador,_presidente_de_México.jpg",Mexico
