,id,label,nationality,date_of_birth,year_of_birth,image,country
0,Q1560986,Ljubomir Magaš,serbia,1948-05-27T00:00:00Z,1948,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Ljuba_Magas.jpg/200px-Ljuba_Magas.jpg,Serbia
1,Q1561828,Jesse Hietanen,finland,1981-01-01T00:00:00Z,1981,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Jessehietanen.jpg/200px-Jessehietanen.jpg,Finland
2,Q1562369,Villanueva Saravia,uruguay,1964-09-16T00:00:00Z,1964,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Villanueva_Saravia_Pinto.jpg/200px-Villanueva_Saravia_Pinto.jpg,Uruguay
3,Q1563469,Tanja Bošković,serbia,1953-06-27T00:00:00Z,1953,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/TANJA_BOSKOVIC_003.jpg/200px-TANJA_BOSKOVIC_003.jpg,Serbia
4,Q1594553,Heike Matthiesen,germany,1969-06-27T00:00:00Z,1969,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Heike_matthiesen.jpg/200px-Heike_matthiesen.jpg,Germany
5,Q1608138,Pedro Suárez-Vértiz,peru,1969-02-13T00:00:00Z,1969,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Pedro_Suarez_Vertiz.jpg/200px-Pedro_Suarez_Vertiz.jpg,Peru
6,Q1611201,Hermann Gerhard Hertz,germany,1922-06-13T00:00:00Z,1922,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Hermann_Gerhard_Hertz.tif/200px-Hermann_Gerhard_Hertz.tif,Germany
7,Q1630029,Horst W. Opaschowski,germany,1941-01-03T00:00:00Z,1941,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Prof._Dr._Horst_W._Opaschowski.jpg/200px-Prof._Dr._Horst_W._Opaschowski.jpg,Germany
8,Q1669833,Matthias Tanzmann,germany,1977-01-01T00:00:00Z,1977,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Matthias_Tanzmann.jpg/200px-Matthias_Tanzmann.jpg,Germany
9,Q1672514,Irene Heise,austria,1956-01-01T00:00:00Z,1956,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Irene_Heise_2009.jpg/200px-Irene_Heise_2009.jpg,Austria
10,Q1678108,Jacques Soisson,france,1928-02-01T00:00:00Z,1928,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/JacquesSoisson.tif/200px-JacquesSoisson.tif,France
11,Q1687977,Jerzy Engel,poland,1952-10-06T00:00:00Z,1952,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Engel_Jerzy_PMN.jpg/200px-Engel_Jerzy_PMN.jpg,Poland
12,Q1688264,Jessica Schultz,united_states_of_america,1985-01-02T00:00:00Z,1985,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Jessica_Schultz.jpg/200px-Jessica_Schultz.jpg,United States
13,Q1689190,Jim Peterik,united_states_of_america,1950-11-11T00:00:00Z,1950,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Jim_Peterik_in_2012.jpg/200px-Jim_Peterik_in_2012.jpg,United States
14,Q1691559,Joe Pytka,united_states_of_america,1938-11-04T00:00:00Z,1938,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Joepytkadirector.jpg/200px-Joepytkadirector.jpg,United States
15,Q1695752,Stephen O'Malley,united_states_of_america,1974-07-15T00:00:00Z,1974,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Stephen_O'Malley_OORX0511NYC.jpg/200px-Stephen_O'Malley_OORX0511NYC.jpg,United States
16,Q1709069,José Canalejas,spain,1925-02-14T00:00:00Z,1925,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/José_Canalejas_as_Chico_in_Per_qualche_dollaro_in_più_(1965).jpg/200px-José_Canalejas_as_Chico_in_Per_qualche_dollaro_in_più_(1965).jpg,Spain
17,Q1714957,Reinhard Naumann,germany,1960-08-10T00:00:00Z,1960,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Reinhard_Naumann_SPD.jpg/200px-Reinhard_Naumann_SPD.jpg,Germany
18,Q1733862,Karljosef Schattner,germany,1924-08-24T00:00:00Z,1924,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Karljosef_Schattner_portrait.tif/200px-Karljosef_Schattner_portrait.tif,Germany
19,Q1744164,Klaas Bolt,kingdom_of_the_netherlands,1927-03-06T00:00:00Z,1927,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Klaas_Bolt_St._Bavo_Haarlen_1990.jpg/200px-Klaas_Bolt_St._Bavo_Haarlen_1990.jpg,Netherlands
